attributionURL,count,employmentStatus,jobTitle,jobTitleId,max,mean,min,obscureType,payPeriod,perOccEmployerDefaultCountryBasePayCount,perOccUnfilteredThisCountryBasePayCount,id,company_name,company_longName,companyLogo,totalJobTitlesCount,totalSalariesCount
https://www.glassdoor.com/Hourly-Pay/E-and-J-Gallo-Winery-Intern-Hourly-Hourly-Pay-E2778_DAO.htm?filter.jobTitleExact=Intern+-+Hourly,24.0,INTERN,Intern - Hourly,10457.0,24.13,20.91,17.03,FULL_DISPLAY,HOURLY,24.0,41530.0,2778,E. & J. Gallo Winery,E. & J. Gallo Winery,https://media.glassdoor.com/sqll/2778/e-and-j-gallo-winery-squarelogo-1561998268430.png,534,1139
"https://www.glassdoor.com/Salary/Bill-and-Melinda-Gates-Foundation-Deputy-Director-Payments-Salaries-E9097_D_KO34,58.htm",1.0,REGULAR,Deputy Director Payments,579947.0,293856.03,281791.61,269727.18,FUZZED,ANNUAL,1.0,1.0,9097,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,https://media.glassdoor.com/sqll/9097/bill-and-melinda-gates-foundation-squarelogo.png,1,1
"https://www.glassdoor.com/Salary/Intuit-Senior-Software-Engineer-Salaries-E2293_D_KO7,31.htm",412.0,REGULAR,Senior Software Engineer,17959.0,182821.98,132142.38,97500.0,FULL_DISPLAY,ANNUAL,415.0,55119.0,2293,Intuit,Intuit Inc.,https://media.glassdoor.com/sqll/2293/intuit-squarelogo-1573086631128.png,1267,5140
"https://www.glassdoor.com/Salary/Intuit-Software-Engineer-Salaries-E2293_D_KO7,24.htm",312.0,REGULAR,Software Engineer,4279.0,183551.13,104463.23,66005.41,FULL_DISPLAY,ANNUAL,388.0,159426.0,2293,Intuit,Intuit Inc.,https://media.glassdoor.com/sqll/2293/intuit-squarelogo-1573086631128.png,1267,5140
"https://www.glassdoor.com/Salary/Intuit-Staff-Software-Engineer-Salaries-E2293_D_KO7,30.htm",204.0,REGULAR,Staff Software Engineer,30994.0,226302.22,159728.61,96450.41,FULL_DISPLAY,ANNUAL,205.0,4996.0,2293,Intuit,Intuit Inc.,https://media.glassdoor.com/sqll/2293/intuit-squarelogo-1573086631128.png,1267,5140
"https://www.glassdoor.com/Salary/Digital-Insight-Project-Manager-Salaries-E9271_D_KO16,31.htm",8.0,REGULAR,Project Manager,37856.0,99014.15,74452.85,47975.93,FULL_DISPLAY,ANNUAL,8.0,71978.0,9271,Digital Insight,Intuit Financial Services,https://media.glassdoor.com/sqll/9271/digital-insight-squarelogo-1417542874802.png,50,67
"https://www.glassdoor.com/Salary/Digital-Insight-Development-Manager-Salaries-E9271_D_KO16,35.htm",3.0,REGULAR,Development Manager,55074.0,148534.47,135735.58,129175.92,FULL_DISPLAY,ANNUAL,3.0,1.0,9271,Digital Insight,Intuit Financial Services,https://media.glassdoor.com/sqll/9271/digital-insight-squarelogo-1417542874802.png,50,67
"https://www.glassdoor.com/Hourly-Pay/Digital-Insight-Technical-Support-Engineer-Hourly-Pay-E9271_D_KO16,42.htm",2.0,CONTRACT,Technical Support Engineer,58305.0,45.24,43.12,41.0,FUZZED,HOURLY,4.0,4853.0,9271,Digital Insight,Intuit Financial Services,https://media.glassdoor.com/sqll/9271/digital-insight-squarelogo-1417542874802.png,50,67
"https://www.glassdoor.com/Salary/Intuit-Signal-Financial-Analyst-Salaries-E719358_D_KO14,31.htm",2.0,REGULAR,Financial Analyst,43960.0,68892.28,66361.36,63830.45,FUZZED,ANNUAL,2.0,27872.0,719358,Intuit Signal,Intuit Signal LLC,,2,3
"https://www.glassdoor.com/Hourly-Pay/Intuit-Signal-Chief-Executive-Officer-Hourly-Pay-E719358_D_KO14,37.htm",1.0,REGULAR,Chief Executive Officer,6198.0,58.27,55.94,53.61,FUZZED,HOURLY,1.0,2062.0,719358,Intuit Signal,Intuit Signal LLC,,2,3
